"BrokenLink","Occurrences","ExampleFile","SuggestedFix","Status"
"tel:811","8","crisis-resources-backup.md","","Not Fixed"
"scripts/viral-hooks-config.js","5","COMMUNITY_ENGAGEMENT_STRATEGY.md","","Not Fixed"
"CONTRIBUTING.md","4","ACTIVATION.md","","Not Fixed"
"./AGENT-DEPLOYMENT-GUIDE.md","4","README-AGENTS.md","","Not Fixed"
"tel:211","4","crisis-resources-backup.md","","Not Fixed"
"tel:1-866-332-2322","3","crisis-resources-backup.md","","Not Fixed"
"/2026/04/01/npm-supply-chain-protection-npmrc-hardening/","3","blog\2026-04-14-security-fortress-complete-24-vulnerabilities-eliminated.md","","Not Fixed"
"tel:1-833-456-4566","3","crisis-resources-backup.md","","Not Fixed"
"tel:310-6789","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-800-668-6868","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-877-303-2642","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-800-261-2960","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-866-277-3553","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-800-240-9798","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-866-925-5454","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-800-668-8258","2","crisis-resources-backup.md","","Not Fixed"
"sms:45645","2","crisis-resources-backup.md","","Not Fixed"
"scripts/viral-hooks-analytics.js","2","ENGAGEMENT_TRACKING_WORKFLOW.md","","Not Fixed"
"tel:306-933-6200","2","crisis-resources-backup.md","","Not Fixed"
"tel:1-888-737-4668","2","crisis-resources-backup.md","","Not Fixed"
