case_id,citation,decision_date,has_termination,has_discipline,has_retaliation,has_coercion,has_privacy_violation,has_exclusion,has_mental_stress,claim_to_termination_days,timeline_flags
2020onwsiat1,2020 ONWSIAT 1 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat2,2020 ONWSIAT 2 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat3,2020 ONWSIAT 3 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat4,2020 ONWSIAT 4 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat5,2020 ONWSIAT 5 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat6,2020 ONWSIAT 6 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat7,2020 ONWSIAT 7 (CanLII),2020-01-02,0,0,0,0,0,0,0,,
2020onwsiat8,2020 ONWSIAT 8 (CanLII),2020-01-03,0,0,0,0,0,0,0,,
2020onwsiat9,2020 ONWSIAT 9 (CanLII),2020-01-03,0,0,0,0,0,0,0,,
2020onwsiat10,2020 ONWSIAT 10 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat11,2020 ONWSIAT 11 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat12,2020 ONWSIAT 12 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat13,2020 ONWSIAT 13 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat14,2020 ONWSIAT 14 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat15,2020 ONWSIAT 15 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat16,2020 ONWSIAT 16 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat17,2020 ONWSIAT 17 (CanLII),2020-01-06,0,0,0,0,0,0,0,,
2020onwsiat18,2020 ONWSIAT 18 (CanLII),2020-01-06,0,0,0,0,0,0,1,,
2020onwsiat19,2020 ONWSIAT 19 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat20,2020 ONWSIAT 20 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat21,2020 ONWSIAT 21 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat22,2020 ONWSIAT 22 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat23,2020 ONWSIAT 23 (CanLII),2020-01-07,0,0,0,0,0,0,1,,
2020onwsiat24,2020 ONWSIAT 24 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat25,2020 ONWSIAT 25 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat26,2020 ONWSIAT 26 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat27,2020 ONWSIAT 27 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat28,2020 ONWSIAT 28 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat29,2020 ONWSIAT 29 (CanLII),2020-01-07,0,0,0,0,0,0,1,,
2020onwsiat30,2020 ONWSIAT 30 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat31,2020 ONWSIAT 31 (CanLII),2020-01-07,0,0,0,0,0,0,0,,
2020onwsiat32,2020 ONWSIAT 32 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat33,2020 ONWSIAT 33 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat34,2020 ONWSIAT 34 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat35,2020 ONWSIAT 35 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat36,2020 ONWSIAT 36 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat37,2020 ONWSIAT 37 (CanLII),2020-01-08,0,0,0,0,0,0,1,,
2020onwsiat38,2020 ONWSIAT 38 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat39,2020 ONWSIAT 39 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat40,2020 ONWSIAT 40 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat41,2020 ONWSIAT 41 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat42,2020 ONWSIAT 42 (CanLII),2020-01-08,0,0,0,0,0,0,0,,
2020onwsiat43,2020 ONWSIAT 43 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat44,2020 ONWSIAT 44 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat45,2020 ONWSIAT 45 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat46,2020 ONWSIAT 46 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat47,2020 ONWSIAT 47 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat48,2020 ONWSIAT 48 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat49,2020 ONWSIAT 49 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat50,2020 ONWSIAT 50 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat51,2020 ONWSIAT 51 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat52,2020 ONWSIAT 52 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
2020onwsiat53,2020 ONWSIAT 53 (CanLII),2020-01-09,0,0,0,0,0,0,0,,
