InjuryType,Count,Percentage
"traumatic",1629,14.25
"shoulder",1391,12.17
"knee",845,7.39
"psychotraumatic",757,6.62
"back",584,5.11
"neck",554,4.85
"mentalStress",517,4.52
"tear",503,4.40
"wrist",459,4.02
"herniation",399,3.49
"foot",373,3.26
"hand",273,2.39
"hip",239,2.09
"elbow",219,1.92
"strain",212,1.85
"arthritis",173,1.51
"chronicPain",172,1.50
"cancer",163,1.43
"respiratory",151,1.32
"nerve",148,1.29
"fracture",143,1.25
"anxiety",138,1.21
"leg",133,1.16
"repetitiveStrain",123,1.08
"depression",118,1.03
"arm",105,0.92
"asbestos",89,0.78
"hearingLoss",83,0.73
"sprain",63,0.55
"tendonitis",57,0.50
"bursitis",40,0.35
"skin",36,0.31
"gradualOnset",28,0.24
"ptsd",26,0.23
"amputation",20,0.17
"overuse",12,0.10
"cut",10,0.09
"crush",10,0.09
"dislocation",7,0.06
"burn",4,0.03
